Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
14-May-14,5569.25,5593.5,5555.45,5583.6,1051608382,18929.96
15-May-14,5588.9,5618.35,5554.45,5580.3,917003627,17222.13
16-May-14,5689.3,5888.15,5610.5,5656,1654563233,35339.61
19-May-14,5711.85,5766.85,5682.2,5762.6,1707779207,29252.74
20-May-14,5804.9,5824.45,5762.25,5790.95,1666839382,24248.6
21-May-14,5799.9,5809.3,5748.65,5792.3,1436663978,21203.37
22-May-14,5828.7,5872.2,5813.05,5841.3,1609503398,22761.53
23-May-14,5872.85,5931.6,5870,5923.65,1511299691,24333.05
26-May-14,5976.85,6035.15,5804.15,5883.75,1794138558,28260.76
27-May-14,5888.4,5888.4,5796.3,5844.2,1128416155,17421.29
28-May-14,5853.3,5870.6,5835.75,5861.25,1101516470,18170.42
29-May-14,5855.85,5860.85,5788.85,5796.45,1107595277,22799.38
30-May-14,5813.95,5831.2,5789.25,5802.85,1185893515,24901.27
02-Jun-14,5829.1,5914.05,5818.3,5911.7,924766778,16676.57
03-Jun-14,5926.2,5963.1,5906.45,5956.85,1144813218,20526.16
04-Jun-14,5960.95,5982.05,5955.1,5972.85,1239021008,19997.35
05-Jun-14,5979.2,6043,5948.05,6037.65,1351373894,23767.56
06-Jun-14,6078.05,6134.15,6067.6,6129.95,1410551388,25436.25
09-Jun-14,6164.55,6209.8,6164.3,6196.7,1661153252,24571.72
10-Jun-14,6218.3,6218.3,6125.2,6192.3,1397278819,21837.56
11-Jun-14,6207.2,6234.25,6123.6,6152.55,1338736844,22961.92
12-Jun-14,6161.7,6178.05,6124.05,6168.8,989175179,17164.11
13-Jun-14,6184.45,6191,6040.45,6057.5,1114587340,21337.06
16-Jun-14,6050,6064,5990.7,6056.7,981708400,17157.43
17-Jun-14,6051.25,6142.75,6044.2,6139.35,907343865,17565.92
18-Jun-14,6146.25,6177.7,6049.2,6084.85,1149101557,19592.79
19-Jun-14,6103.05,6127.3,6040.95,6064.75,819797974,15691.48
20-Jun-14,6066.45,6082.75,6026.9,6038.6,877248071,14548.35
23-Jun-14,6044.4,6065.7,6001.25,6037.95,816069082,13660.85
24-Jun-14,6054.2,6124.4,6054.2,6113.85,937533251,16153.19
25-Jun-14,6123.05,6127.25,6106.65,6115.15,806982445,14227.51
26-Jun-14,6107.8,6119.9,6058.55,6065.8,938593485,18884.31
27-Jun-14,6083.3,6105.8,6055.35,6082.1,810695865,14857.36
30-Jun-14,6102.4,6180.85,6102.4,6174.2,818639694,16094.02
01-Jul-14,6192,6212,6187.2,6199.9,808783092,15096.89
02-Jul-14,6240.1,6282.2,6240.1,6276.9,933160627,17789.53
03-Jul-14,6289.9,6301.7,6260.1,6267.2,876932476,17229.86
04-Jul-14,6273.05,6300.85,6230,6297.6,766993073,14614.16
07-Jul-14,6319.8,6329.3,6300.9,6322,753882678,17126.43
08-Jul-14,6336.45,6336.45,6131.55,6152.3,945567180,19653.94
09-Jul-14,6159.2,6169.05,6076.2,6104,979622198,18216.05
10-Jul-14,6105.95,6233.05,6008.2,6105.2,1403789512,24675.88
11-Jul-14,6116,6153.55,5981.45,5991.7,1006595970,18352.61
14-Jul-14,5993.65,6008.55,5958.9,5990.7,688863159,13108.37
15-Jul-14,6020.25,6071.55,6004.65,6067.35,696464709,13443.21
16-Jul-14,6096.15,6157.6,6080,6147.9,835056267,16132.02
17-Jul-14,6140.55,6185.95,6140.55,6179.45,760462984,15010.42
18-Jul-14,6167.45,6199.55,6135.25,6184.55,718747757,14919.86
21-Jul-14,6213.05,6234.8,6193.5,6200.3,584930251,12379.58
22-Jul-14,6219.55,6254.45,6216.4,6251.35,662837781,14149.43
23-Jul-14,6272.95,6283.6,6226.8,6261.1,710698294,14781.87
24-Jul-14,6263.9,6283.35,6242.95,6278.95,703213796,14482.41
25-Jul-14,6278.75,6284.3,6192.6,6230.45,819809215,17368.05
28-Jul-14,6231.55,6237.1,6182.3,6200,597648919,12481.59
30-Jul-14,6196.1,6237.5,6168.45,6232.6,733707847,17463
31-Jul-14,6227.4,6243.55,6189.55,6194.45,963002830,21548.14
01-Aug-14,6146.55,6201.1,6106.45,6111.7,850794773,17722.75
04-Aug-14,6138.2,6183.6,6136.6,6175.7,621406577,14136.17
05-Aug-14,6192.3,6229.55,6150.25,6226.45,741586517,14898.65
06-Aug-14,6210.4,6231.8,6165.4,6173.6,673346782,14446.05
07-Aug-14,6160.3,6195.7,6141.85,6153.5,603608244,12565.21
08-Aug-14,6104.05,6104.05,6051.35,6072.65,619681283,12854.47
