,Plan_name,riskometer
200,ICICI Prudential Growth Fund - Series 3 - Direct Plan (G),MODERATELY HIGH
201,ICICI Prudential Growth Fund - Series 3 - Regular Plan (G),MODERATELY HIGH
202,ICICI Prudential Growth Fund - Series 4 - Direct Plan (G),MODERATELY HIGH
203,ICICI Prudential Growth Fund - Series 4 - Regular Plan (G),MODERATELY HIGH
204,ICICI Prudential Growth Fund - Series 5 - Direct Plan (G),MODERATELY HIGH
205,ICICI Prudential Growth Fund - Series 5 - Regular Plan (G),MODERATELY HIGH
206,ICICI Prudential Growth Fund - Series 6 - Direct Plan (G),MODERATELY HIGH
207,ICICI Prudential Growth Fund - Series 6 - Regular Plan (G),MODERATELY HIGH
208,ICICI Prudential Growth Fund - Series 7 - Direct Plan (G),MODERATELY HIGH
209,ICICI Prudential Growth Fund - Series 7 - Regular Plan (G),MODERATELY HIGH
210,ICICI Prudential Growth Fund - Series 8 - Direct Plan (G),MODERATELY HIGH
211,ICICI Prudential Growth Fund - Series 8 - Regular Plan (G),MODERATELY HIGH
212,ICICI Prudential Income Plan (G),MODERATE
213,ICICI Prudential Income Plan - Institutional Plan (G),MODERATE
214,ICICI Prudential Income Opportunities Fund - Direct Plan (G),MODERATE
215,ICICI Prudential Income Opportunities Fund - Institutional Plan (G),MODERATE
216,ICICI Prudential Income Opportunities Fund (G),MODERATE
217,ICICI Prudential Income Plan - Direct Plan (G),MODERATE
218,ICICI Prudential Index Fund - Institutional Option I,MODERATELY HIGH
219,ICICI Prudential Index Fund - Nifty Plan (G),MODERATELY HIGH
220,ICICI Prudential Index Fund - Nifty Plan - Direct Plan (G),MODERATELY HIGH
221,ICICI Prudential Indo Asia Equity Fund - Institutional Plan (G),MODERATELY HIGH
222,ICICI Prudential Indo Asia Equity Fund - Retail Plan (G),MODERATELY HIGH
223,ICICI Prudential Indo Asia Equity Fund - Direct Plan (G),MODERATELY HIGH
224,ICICI Prudential Infrastructure Fund - Retail Plan (G),HIGH
225,ICICI Prudential Infrastructure Fund - Direct Plan (G),HIGH
226,ICICI Prudential Infrastructure Fund - Institutional Plan (G),HIGH
227,ICICI Prudential Liquid Plan (G),LOW
228,ICICI Prudential Liquid Plan - Direct Plan (G),LOW
229,ICICI Prudential Liquid Plan - Institutional Option - I ,LOW
230,ICICI Prudential Liquid Plan - Retail Plan (G),LOW
231,ICICI Prudential Liquid - Institutional Plan (G),LOW
232,ICICI Prudential Liquid Plan - Institutional Plus (G),LOW
233,ICICI Prudential Long Term Plan - Direct Plan (G),MODERATE
234,ICICI Prudential Long Term Equity Fund (Tax Saving) (G),MODERATELY HIGH
235,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan (G),MODERATELY HIGH
236,ICICI Prudential Long Term Gilt Fund (G),MODERATE
237,ICICI Prudential Long Term Gilt Fund - Direct Plan (G),MODERATE
238,ICICI Prudential Long Term Plan (G),MODERATE
239,ICICI Prudential Long Term Plan - Premium Plan (G),MODERATE
240,ICICI Prudential Long Term Plan - Retail Plan (G),MODERATE
241,ICICI Prudential MidCap Fund (G),MODERATELY HIGH
242,ICICI Prudential MidCap Fund - Direct Plan (G),MODERATELY HIGH
243,ICICI Prudential Monthly Income Plan (G),MODERATE
244,ICICI Prudential Monthly Income Plan - Direct Plan (G),MODERATE
245,ICICI Prudential MIP 25 - Direct Plan (G),MODERATELY HIGH
246,ICICI Prudential Advisor Series - Moderate Plan (G),MODERATELY HIGH
247,ICICI Prudential Advisor Series - Moderate Plan - Direct Plan (G),MODERATELY HIGH
248,ICICI Prudential Money Market Fund - Retail Plan (G),LOW
249,ICICI Prudential Money Market Fund (G),LOW
250,ICICI Prudential Money Market Fund - Direct Plan (G),LOW
251,ICICI Prudential Multiple Yield Fund - Series 3 - Plan A - Regular Plan (G),MODERATE
252,ICICI Prudential Multiple Yield Fund - Series 3 - Plan A - Direct Plan (G),MODERATE
253,ICICI Prudential Multiple Yield Fund - Series 3 - Plan B - Direct Plan (G),MODERATE
254,ICICI Prudential Multiple Yield Fund - Series 3 - Plan B - Regular Plan (G),MODERATE
255,ICICI Prudential Multiple Yield Fund - Series 3 - Plan C - Direct Plan (G),MODERATE
256,ICICI Prudential Multiple Yield Fund - Series 3 - Plan C - Regular Plan (G),MODERATE
257,ICICI Prudential Multiple Yield Fund - Series 3 - Plan D - Direct Plan (G),MODERATE
258,ICICI Prudential Multiple Yield Fund - Series 3 - Plan D - Regular Plan (G),MODERATE
259,ICICI Prudential Multiple Yield Fund - Series 4 - Plan A - Direct Plan (G),MODERATE
260,ICICI Prudential Multiple Yield Fund - Series 4 - Plan A - Regular Plan (G),MODERATE
261,ICICI Prudential Multiple Yield Fund - Series 4 - Plan B - Direct Plan (G),MODERATE
262,ICICI Prudential Multiple Yield Fund - Series 4 - Plan B - Regular Plan (G),MODERATE
263,ICICI Prudential Multiple Yield Fund - Series 4 - Plan C - Direct Plan (G),MODERATE
264,ICICI Prudential Multiple Yield Fund - Series 4 - Plan C - Regular Plan (G),MODERATE
265,ICICI Prudential Multiple Yield Fund - Series 4 - Plan D - Direct Plan (G),MODERATE
266,ICICI Prudential Multiple Yield Fund - Series 4 - Plan D - Regular Plan (G),MODERATE
267,ICICI Prudential Multiple Yield Fund - Series 4 - Plan E - Direct Plan (G),MODERATE
268,ICICI Prudential Multiple Yield Fund - Series 4 - Plan E - Regular Plan (G),MODERATE
269,ICICI Prudential Multiple Yield Fund - Series 5 - Plan A - Direct Plan (G),MODERATE
270,ICICI Prudential Multiple Yield Fund - Series 5 - Plan A - Regular Plan (G),MODERATE
271,ICICI Prudential Multiple Yield Fund - Series 5 - Plan B - Direct Plan (G),MODERATE
272,ICICI Prudential Multiple Yield Fund - Series 5 - Plan B - Regular Plan (G),MODERATE
273,ICICI Prudential Multiple Yield Fund - Plan A (G),MODERATE
274,ICICI Prudential Multiple Yield Fund - Plan B (G),MODERATE
275,ICICI Prudential Multiple Yield Fund Plan C (G),MODERATE
276,ICICI Prudential Multiple Yield Fund Plan D (G),MODERATE
277,ICICI Prudential Multiple Yield Fund - Plan E (G),MODERATE
278,ICICI Prudential Multiple Yield Fund - Series 2 - Plan A (G),MODERATE
279,ICICI Prudential Multiple Yield Fund - Series 2 - Plan B (G),MODERATE
280,ICICI Prudential Multiple Yield Fund - Series 2 - Plan C (G),MODERATE
281,ICICI Prudential Multiple Yield Fund - Series 2 - Plan D (G),MODERATE
282,ICICI Prudential Multiple Yield Fund - Series 2 - Plan E (G),MODERATE
283,ICICI Prudential Multiple Yield Fund - Series 2 - Plan F (G),MODERATE
284,ICICI Prudential Nifty Next 50 Index Fund - Growth,MODERATELY HIGH
285,ICICI Prudential Nifty Next 50 Index Fund - Direct Plan - Growth,MODERATELY HIGH
286,ICICI Prudential India Recovery Fund - Series 3 - Direct Plan (G),MODERATELY HIGH
287,ICICI Prudential India Recovery Fund - Series 3 - Regular Plan (G),MODERATELY HIGH
288,ICICI Prudential Regular Gold Savings Fund (G),MODERATELY HIGH
289,ICICI Prudential Regular Gold Savings Fund - Direct Plan (G),MODERATELY HIGH
290,ICICI Prudential Regular Savings Fund - Direct Plan (G),MODERATE
291,ICICI Prudential Regular Savings Fund (G),MODERATE
292,ICICI Prudential R.I.G.H.T. Fund (G),HIGH
293,ICICI Prudential Savings Fund - Plan A (G),MODERATELY LOW
294,ICICI Prudential Savings Fund - Plan B (G),MODERATELY LOW
295,ICICI Prudential Savings Fund - Plan C (G),MODERATELY LOW
296,ICICI Prudential Savings Fund - Direct Plan (G),MODERATELY LOW
297,ICICI Prudential Savings Fund (G),MODERATELY LOW
298,ICICI Prudential Select Large Cap Fund - Direct Plan (G),MODERATELY HIGH
299,ICICI Prudential Select Large Cap Fund  - Retail Plan (G),MODERATELY HIGH
300,ICICI Prudential Short Term Gilt Fund (G),MODERATE
301,ICICI Prudential Short Term Gilt Fund - Direct Plan (G),MODERATE
302,ICICI Prudential Short Term Plan (G),MODERATE
303,ICICI Prudential Short Term Plan - Institutional Plan (G),MODERATE
304,ICICI Prudential SPIcE Plan,MODERATELY HIGH
305,ICICI Prudential Short Term Plan - Direct Plan (G),MODERATE
306,ICICI Prudential Technology Fund (G),HIGH
307,ICICI Prudential Technology Fund - Direct Plan (G),HIGH
308,ICICI Prudential Top 100 Fund (G),MODERATELY HIGH
309,ICICI Prudential Top 100 Fund - Direct Plan (G),MODERATELY HIGH
310,ICICI Prudential Ultra Short Term Plan (G),MODERATELY LOW
311,ICICI Prudential Ultra Short Term Plan - Direct Plan (G),MODERATELY LOW
312,ICICI Prudential Ultra Short Term Plan - Premium Plan (G),MODERATELY LOW
313,ICICI Prudential Ultra Short Term Plan - Retail Plan (G),MODERATELY LOW
314,ICICI Prudential Ultra Short Term Plan - Super Premium Plus Plan (G),MODERATELY LOW
315,ICICI Prudential US Bluechip Equity Fund - Direct Plan (G),HIGH
316,ICICI Prudential US Bluechip Equity Fund (G),HIGH
317,ICICI Prudential Value Discovery Fund - Direct Plan (G),MODERATELY HIGH
318,ICICI Prudential Value Discovery Fund (G),MODERATELY HIGH
319,ICICI Prudential Value Fund - Series 1 - Direct Plan (D),HIGH
320,ICICI Prudential Value Fund - Series 1 - Regular Plan (D),HIGH
321,ICICI Prudential Value Fund - Series 2 - Direct Plan (D),HIGH
322,ICICI Prudential Value Fund - Series 2 - Regular Plan (D),HIGH
323,ICICI Prudential Value Fund - Series 3 - Direct Plan (D),HIGH
324,ICICI Prudential Value Fund - Series 3 - Regular Plan (D),HIGH
325,ICICI Prudential Value Fund - Series 4 - Direct Plan (G),MODERATELY HIGH
326,ICICI Prudential Value Fund - Series 4 - Regular Plan (G),MODERATELY HIGH
327,ICICI Prudential Value Fund - Series 5 - Direct Plan (G),MODERATELY HIGH
328,ICICI Prudential Value Fund - Series 5 - Regular Plan (G),MODERATELY HIGH
329,ICICI Prudential Value Fund - Series 6 - Direct Plan (G),MODERATELY HIGH
330,ICICI Prudential Value Fund - Series 6 - Regular Plan (G),MODERATELY HIGH
331,ICICI Prudential Advisor Series -Very Aggressive Plan (G),HIGH
332,ICICI Prudential Advisor Series -Very Aggressive Plan - Direct Plan (G),HIGH
333,ICICI Prudential Nifty 100 iWIN ETF,N.A
334,ICICI Prudential MIP 25 (G),MODERATELY HIGH
335,ICICI Prudential Multicap Fund (G),MODERATELY HIGH
336,ICICI Prudential Multicap Fund - Direct Plan (G),MODERATELY HIGH
337,ICICI Prudential Nifty iWIN ETF,N.A
338,ICICI Prudential Nifty Low Vol 30 iWIN ETF,MODERATELY HIGH
339,ICICI Prudential Regular Income Fund (G),MODERATE
